ID,clade,spore_1_width,spore_2_width,spore_3_width,spore_4_width,spore_5_width,spore_6_width,spore_7_width,spore_8_width,spore_9_width,spore_10_width,spore_1_length,spore_2_length,spore_3_length,spore_4_length,spore_5_length,spore_6_length,spore_7_length,spore_8_length,spore_9_length,spore_10_length
L11488,,5.25,5.5,5.5,6,6,5.5,5.25,5.25,6,6,9,10,9,9,11,10,9,9,9,10
L20483,,7,6,5.5,6,6.5,6.5,6,5,6.5,6,13,12,11,13,13,12,11.5,12,12,13
L03398,,6,5.25,5,5.5,6,6.5,6,5.75,5.5,5,11,11,10,12,11,11,11,11,11,10
L03557,3,5.5,5,6,5,6,5.5,5.5,5,6,5.5,12.5,10,12,11.5,12,12,12,11,11,11.5
L24109,3,6,5,5,5,5,6,5.5,6,6,4.5,13,10,10,10,12,12,12,11.5,11,10
L03400,,5.5,5.5,5.5,5.5,6.5,7,6.5,7,6.5,6,11,11,10.5,13,12.5,14,13,15,13,13
L17072,,6,6,8,6.5,7.5,7,6,5.5,7,6.5,13,12,13,14,13,12,12.5,12,13,12
L04230,1,7,8,,,,,,,,,15,17,,,,,,,,
L08305,2,5.5,6,6,5.5,5.75,5.5,6,5.5,6,6.5,13,12,12,12,11,12,12,13,14,13
20240813,1,7,7,7,7,8,7.5,6.5,7.5,6.5,7.5,16,15,14.5,15,16,14,13,15,15,15
L03389,,5,4.75,5,5,4.75,4.5,4.25,4.5,5,4,11,10,10,10,9,10,9.5,10,9,9
L02347,2,,,,,,,,,,,,,,,,,,,,
L03384,,5,5,4.5,5,5.25,5.5,5.5,5,5,5.5,12,11,11,12,12,12,11.5,11,10,10
L03367,,7.5,7,7.5,7,7.5,7,8.25,8,6,7,13,13,12.5,13,12,13,13,12.5,13,13
L03368,,7,6,6,5.5,6,6.5,6.5,6,6.5,6,11,12,13,13,13,12,13,13,14.25,12
L03556,2,4,4.5,4,5,4,4,4.5,4,4,4,9.5,9,10,10,10,9,10,9,10,9
L04086,1,7,7,7.5,7,6.5,6,7.5,7,7,7,12,14,14,13,13,15,14,14,14,13.5
07-80,1,6.25,6.25,7,6.5,6.25,7,6.5,6.5,7,6,14,14,12,12.5,14,12,14.5,12,14,13
L11062,,6,5.5,6,6,7,7,6,6,5.5,6,9,10,10,11.5,11,12.5,13,12,11.5,12
140702,,6,6.5,6.5,6,6.5,5.5,6,5,5.5,7,13,15,15,13,12.5,12,12,13,13,14
L03413,,6,5.5,5.5,5.25,5.5,4,5.25,4.5,5,6,13,11.5,10,11,11,10,11,12,11,11.5
L22236,,6.5,7,7,8,7.25,6.5,7.5,7,7,8,13,12,13,15,13,12.5,14.5,13,13,14
L20167,1,6.5,7,8,6.5,7,7,6,7,7,7,11,12,12,11,12,12,13,13,12,11
L03399,2,5,4.5,4.5,4,4,4,4.25,4,4.5,4.5,11,11,10,9,11,11,11,10,12,10
L20494,2,6,5.5,6,5.5,6,5.5,5,5.5,6.25,5,14,13,15,12.5,12,12,12,12,12.5,12
L02350,3,7.5,5.5,6,6,5.5,5.25,5,5,5,5,12.5,14.5,11,10,11,10,11,11,11,10
L04064,1,6.25,6.5,6.25,7.5,6.75,7.5,7.5,6.25,6.25,5,12.5,15,13,15,15,15,13.5,12.5,12.5,12.5
L03388,,6,5,5,5,5,5,4.5,4.75,3.25,4.25,12.5,12.5,10,11.5,11.5,11.5,11.5,11,10,10
L20302,2,4.5,5,4.5,4,4.5,4.5,,,,,11,11,14,11,12,10.5,,,,
L17164,3,6,5.5,5.5,6,5,5.5,5,6,5,6,12,11.5,13.5,12,11,12,12,12,13,13.5
34023,3,5,5.75,5.5,6,5,5.5,5.5,6,5,6,13,14,14,15,13,12,12,13,10,12
10290d,3,5,5.75,5,5,5.5,5,5.5,6,6,5,12,13,11,12,11.5,13,13,12,12,10.5
20240811,3,5,5,5,5,5.25,6,5,5.5,5,5.25,10,12,13,15,14,13.5,13,13.5,13,13
